feature,ks_stat,ks_p,wasserstein,ref_mean,target_mean,ks_significant
SE_rms,0.06972789115646258,0.06290124748009555,0.04232161257317406,-9.425566902940105e-16,0.012922650619751572,False
TS4_skew,0.024943310657596373,0.9784299451691946,0.04179085463974507,-1.409807015397024e-17,0.0013588665177370377,False
SE_std,0.07596371882086168,0.03302309682596674,0.04101406247702052,1.4339751356609731e-15,-0.0358854387865753,True
PS2_std,0.05555555555555555,0.2213575364978584,0.03909440013592069,4.3704017477307747e-16,-0.008630215047759317,False
FS1_std,0.040249433106575964,0.6084773323354415,0.03829444947922845,-8.680383194801678e-16,-0.02719977611302352,False
FS1_max,0.0481859410430839,0.3787247432238457,0.038178590828877965,5.691088819654487e-15,-0.034917589223510306,False
FS1_ptp,0.0481859410430839,0.3787247432238457,0.03817728037711584,3.177604312203793e-15,-0.03491628340886471,False
PS2_skew,0.07369614512471655,0.042009994370137235,0.03695201627450618,-7.351136580284483e-17,-0.03695201627450623,True
TS4_kurt,0.035147392290249435,0.7680248468887392,0.036939232765793875,2.819614030794048e-17,0.01414264125562474,False
SE_mean,0.06859410430839002,0.07030121934767267,0.0366293050012675,9.06304509898087e-17,0.015864194363444262,False
FS1_skew,0.04591836734693878,0.4389139384339533,0.034725517935225395,-1.1278456123176193e-16,-0.03410618123439606,False
EPS1_kurt,0.054988662131519275,0.2313777843308661,0.03426615943421537,1.0070050109978744e-17,0.0021997382563223034,False
EPS1_skew,0.061224489795918366,0.13853528514528815,0.03298066807257459,1.2889664140772793e-16,0.019855516024412587,False
SE_kurt,0.04421768707482993,0.4873123719141046,0.03226062183915233,0.0,0.03000963518102703,False
FS1_rms,0.034013605442176874,0.8013259978832289,0.03126320261720039,5.931259514777481e-16,0.02585983046220128,False
PS1_skew,0.0481859410430839,0.3787247432238457,0.03069356753909271,9.667248105579594e-17,0.02293330020551718,False
PS1_kurt,0.0572562358276644,0.19327357129804096,0.030376328404595507,-4.4308220483906476e-17,0.007532412794244279,False
SE_skew,0.04591836734693878,0.4389139384339533,0.03031946308661868,9.667248105579594e-17,-0.029750143761880822,False
FS1_mean,0.03854875283446712,0.6622931907782612,0.028688971185147096,8.056040087982996e-18,0.02608607933916364,False
FS1_min,0.0005668934240362812,1.0,0.023816275411476302,4.028020043991498e-18,-0.02381627541147705,False
PS2_min,0.0,1.0,0.0,0.0,0.0,False
PS3_min,0.0,1.0,0.0,0.0,0.0,False
SE_min,0.0,1.0,0.0,0.0,0.0,False
