feature,ks_stat,ks_p,wasserstein,ref_mean,target_mean,ks_significant
PS6_ptp,0.05045351473922902,0.32397561786140966,0.08762678670273098,-3.56278372891048e-15,-0.014371591440996537,False
FS2_kurt,0.045351473922902494,0.4547560502186122,0.08725051409185858,4.833624052789797e-17,0.07596685310900986,False
TS1_kurt,0.051587301587301584,0.29871647142040814,0.08572970559586662,-1.611208017596599e-17,-0.07692564990601702,False
PS4_trend,0.03798185941043084,0.6802360469901694,0.0846994540120237,4.028020043991498e-18,0.08017950607033429,False
PS3_mean,0.07596371882086168,0.03302309682596674,0.084487552820342,1.0724603367127362e-16,0.08433534221630105,True
PS5_ptp,0.04421768707482993,0.4873123719141046,0.07791405400280062,-3.99378187361757e-15,-0.030752831911041823,False
TS1_trend,0.06802721088435375,0.07427063752334633,0.07743376933581197,2.014010021995749e-18,-0.012632539154254366,False
TS3_skew,0.053854875283446714,0.25243508297595646,0.07582686853817777,-9.239270975905497e-17,0.07028431196453122,False
PS4_kurt,0.051587301587301584,0.29871647142040814,0.0757103634276497,4.0280200439914976e-17,0.07557915076461559,False
PS5_std,0.053854875283446714,0.25243508297595646,0.07211246119380114,-2.3233619613742958e-14,-0.00487502664889805,False
FS1_kurt,0.03798185941043084,0.6802360469901694,0.0706938084541406,-1.6313481178165566e-16,-0.03258703598003844,False
TS4_std,0.04931972789115646,0.3506504085561101,0.07039921606469651,-7.935199486663251e-16,-0.0661332409375947,False
TS3_trend,0.05328798185941043,0.263480065681312,0.06959751341297504,1.5105075164968118e-17,-0.015152919236819941,False
PS4_skew,0.07539682539682539,0.03509528253701764,0.06709525657756811,-4.229421046191072e-17,0.06170541924713692,True
VS1_kurt,0.049886621315192746,0.3371366724412234,0.06565338404246351,2.0140100219957488e-17,-0.05632261173103569,False
PS1_trend,0.04421768707482993,0.4873123719141046,0.06540857252881316,8.056040087982996e-18,0.05475685352828682,False
PS6_trend,0.04421768707482993,0.4873123719141046,0.06519734969163525,-8.056040087982996e-18,0.0017929880713403582,False
TS2_trend,0.05272108843537415,0.27487368720135313,0.06492963151692505,8.056040087982996e-18,-0.02823893846801628,False
PS6_std,0.06405895691609978,0.10770519632859851,0.06491519771462576,-2.2351483224108822e-14,0.004227206483535062,False
PS5_trend,0.04081632653061224,0.5906679850231177,0.06475179723448055,7.04903507698512e-17,0.001304079167055692,False
TS2_kurt,0.03458049886621315,0.7848567480121535,0.06402229736917414,-6.585812771926099e-16,0.04256495903119683,False
TS4_ptp,0.041383219954648526,0.5729794749973092,0.06285349636427567,-3.1619957345333256e-16,-0.05788001270307114,False
PS6_kurt,0.04705215419501134,0.40816438318141446,0.062427634519265224,-7.653238083583846e-17,0.0431537706294776,False
PS2_trend,0.05328798185941043,0.263480065681312,0.06235984879433358,-8.056040087982996e-18,0.05142070292063491,False
VS1_trend,0.04705215419501134,0.40816438318141446,0.06225646275675297,2.0542902224356639e-16,-0.0028719053624838963,False
TS4_trend,0.054988662131519275,0.2313777843308661,0.06220790213642649,1.2084060131974493e-17,0.005792622465331993,False
CP_ptp,0.03968253968253968,0.6263750634936159,0.060682911139326265,-1.1379156624275981e-15,-0.027889135071957394,False
SE_max,0.05668934240362812,0.2023106437299032,0.06011172620011773,-2.9646227523777423e-15,-0.03656670979969268,False
SE_ptp,0.05668934240362812,0.2023106437299032,0.06011172620011773,-2.9646227523777423e-15,-0.03656670979969268,False
CP_trend,0.05272108843537415,0.27487368720135313,0.05980250420141349,4.229421046191072e-17,-0.031285612990828306,False
FS2_trend,0.05442176870748299,0.24173556285944778,0.05966272456462769,4.0280200439914976e-17,-0.012346218683786965,False
CE_trend,0.04931972789115646,0.3506504085561101,0.05913588000897621,6.042030065987246e-18,-0.019538480406652847,False
TS2_skew,0.04365079365079365,0.5039959668793611,0.05887983670936435,7.653238083583846e-17,-0.03511597237156789,False
PS3_trend,0.05668934240362812,0.2023106437299032,0.05877640318031359,-2.2154110241953238e-17,-0.037460659848502366,False
PS1_mean,0.06235827664399093,0.12543840284910743,0.05860378864575544,2.839754131014006e-15,0.01819618445093065,False
EPS1_trend,0.04251700680272109,0.5380822604235697,0.057074037244606406,1.409807015397024e-17,0.038979916133786374,False
FS1_trend,0.035147392290249435,0.7680248468887392,0.056420969201131266,-1.8126090197961738e-17,-0.04530142330985897,False
PS1_rms,0.06235827664399093,0.12543840284910743,0.0564107453318685,-6.042030065987246e-16,0.015539588987184884,False
PS4_ptp,0.06746031746031746,0.07842834176802102,0.05631089489696128,2.819614030794048e-17,-0.043461852844189734,False
CE_ptp,0.036848072562358274,0.7158772079871982,0.05547513776931785,-1.8327491200161313e-16,-0.01944003640095654,False
PS2_mean,0.06859410430839002,0.07030121934767267,0.05480941171648676,3.2828363358530704e-15,0.014237186908104217,False
SE_trend,0.032879818594104306,0.832962885093066,0.05368697848371994,1.2084060131974493e-17,-0.04271594503976243,False
FS2_std,0.04421768707482993,0.4873123719141046,0.05346784877174431,-1.228898565171256e-14,-0.04253812584670795,False
TS3_ptp,0.03571428571428571,0.7508832163088637,0.052689845772078595,1.0674253116577469e-16,-0.03758019564828893,False
PS5_kurt,0.036281179138321996,0.733483807962663,0.05152645820260129,2.2556912246352386e-16,0.04002566407455283,False
PS2_rms,0.0663265306122449,0.08733518761677106,0.0512718043816006,1.041243181371802e-15,0.009102682442516353,False
FS2_skew,0.053854875283446714,0.25243508297595646,0.050874625052345704,1.409807015397024e-17,0.0055544015459307325,False
CP_std,0.022108843537414966,0.994489736365025,0.05046495357670035,-3.766198741132051e-15,-0.03903057899539553,False
VS1_skew,0.02834467120181406,0.9348929189449394,0.05008079152641977,8.66024309458172e-17,-0.024401029029361074,False
FS2_ptp,0.036281179138321996,0.733483807962663,0.049786831978193516,-1.819658054873159e-15,0.0035486358963169227,False
PS1_std,0.08560090702947845,0.010943597495570655,0.04976446089529102,3.6050779393723906e-16,-0.04915763110867535,True
TS3_std,0.03854875283446712,0.6622931907782612,0.049517092282320874,-2.463134256900801e-15,-0.0332096738267509,False
CE_std,0.031179138321995464,0.8763775022721514,0.0481090256853091,-1.1077055120976618e-16,-0.02347588171373445,False
PS4_std,0.07256235827664399,0.047253187410013935,0.047311740425019684,-1.8126090197961738e-17,-0.02971388937803244,True
